article_id,title,link,first_paragraph
26,Manta (Bénin),https://fr.wikipedia.org/wiki/Manta_(B%C3%A9nin),"Manta est l'un des sept arrondissements de la commune de Boukoumbé, dans le département de l'Atacora"
27,Échangeur de Godomey,https://fr.wikipedia.org/wiki/%C3%89changeur_de_Godomey,L'échangeur de Godomey est un échangeur autoroutier situé à Godomey dans la commune d'Abomey-Calavi 
28,Gogounou,https://fr.wikipedia.org/wiki/Gogounou,"Gogounou est une ville située au nord du Bénin, chef-lieu de la commune du même nom, dans le départe"
29,Togbin-Daho,https://fr.wikipedia.org/wiki/Togbin-Daho,"Togbin-Daho est une localité du Bénin, située dans la commune d'Abomey-Calavi, l'arrondissement de G"
30,Dassari (Bénin),https://fr.wikipedia.org/wiki/Dassari_(B%C3%A9nin),Dassari est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au
31,Banikoara,https://fr.wikipedia.org/wiki/Banikoara,Banikoara est une commune du Bénin située dans le département de l'Alibori.
32,Cathédrale Notre-Dame-du-Mont-Carmel de Kandi,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-du-Mont-Carmel_de_Kandi,La cathédrale Notre-Dame-du-Mont-Carmel de Kandi est le principal sanctuaire catholique de la ville 
33,Festival international du film de Ouidah,https://fr.wikipedia.org/wiki/Festival_international_du_film_de_Ouidah,Quintessence – ou Festival international du film de Ouidah – est un festival de cinéma fondé par le 
34,Avlékété,https://fr.wikipedia.org/wiki/Avl%C3%A9k%C3%A9t%C3%A9,Avlékété est un arrondissement du Bénin situé dans le département de l'Atlantique et la commune de O
35,Karimama (Bénin),https://fr.wikipedia.org/wiki/Karimama_(B%C3%A9nin),"Karimama est une ville située au nord-est du Bénin, chef-lieu de la commune du même nom, dans le dép"
36,Tori-Gare,https://fr.wikipedia.org/wiki/Tori-Gare,"Tori-Gare est un arrondissement et une localité situés au sud du Bénin, dans la commune de Tori-Boss"
37,Kandi,https://fr.wikipedia.org/wiki/Kandi,"Kandi est une ville située au nord du Bénin, chef-lieu de la commune du même nom et préfecture du dé"
38,Forêt classée de la Sota,https://fr.wikipedia.org/wiki/For%C3%AAt_class%C3%A9e_de_la_Sota,Vous pouvez partager vos connaissances en l’améliorant (comment ?) selon les recommandations des pro
39,Atacora,https://fr.wikipedia.org/wiki/Atacora,L'Atacora est un département situé au nord-ouest du Bénin. Il est limitrophe du Togo à l'ouest et du
40,Golo-Djigbé,https://fr.wikipedia.org/wiki/Golo-Djigb%C3%A9,"Golo-Djigbé est un arrondissement de la commune d'Abomey-Calavi, situé dans le département de l'Atla"
41,Porte du non-retour,https://fr.wikipedia.org/wiki/Porte_du_non-retour,"La Porte du non-retour est un arc mémorial en béton et bronze dans la ville d'Ouidah, au Bénin. L'ar"
42,Kouaba,https://fr.wikipedia.org/wiki/Kouaba,"Kouaba est l'un des neuf arrondissements de la commune de Natitingou, dans le département de l'Ataco"
43,Sô-Tchanhoué,https://fr.wikipedia.org/wiki/S%C3%B4-Tchanhou%C3%A9,"Sô-Tchanhoué est un village semi-lacustre du sud-est du Bénin, situé sur la rive septentrionale du l"
44,Zogbadjè,https://fr.wikipedia.org/wiki/Zogbadj%C3%A8,Le quartier zogbadjè ou Agori-Zogbadjè est un quartier d'Abomey-Calavi2dans le département de l'Atla
45,Chutes de Tanougou,https://fr.wikipedia.org/wiki/Chutes_de_Tanougou,"Les chutes ou cascades de Tanougou sont des chutes d'eau situées à Tanougou, un village du départeme"
46,Gomparou,https://fr.wikipedia.org/wiki/Gomparou,"Gomparou est un arrondissement du département de l'Alibori, au nord du Bénin."
47,Sompérékou,https://fr.wikipedia.org/wiki/Somp%C3%A9r%C3%A9kou,Sompérékou ou Somprékou ou encore Sompéroukou est un des dix arrondissements de de la commune de Ban
48,Goumori,https://fr.wikipedia.org/wiki/Goumori,"Goumori2 est un arrondissement du département de l'Alibori, au nord du Bénin. C'est une division adm"
49,Kassakou,https://fr.wikipedia.org/wiki/Kassakou,Kassakou est un arrondissement sous la tutelle de la commune de Kandi dans le département de l'Alibo
50,Ounet,https://fr.wikipedia.org/wiki/Ounet,Ounet ou Ouné est un arrondissement situé dans département de l'Alibori au nord du Bénin. C'est une 
51,Toura (Bénin),https://fr.wikipedia.org/wiki/Toura_(B%C3%A9nin),"Toura est un arrondissement du département de l'Alibori, au nord du Bénin. C'est une division admini"
52,Alibori,https://fr.wikipedia.org/wiki/Alibori,"L'Alibori est un département situé au nord-est du Bénin. Il est limitrophe du Burkina Faso, du Niger"
53,Soroko (Bénin),https://fr.wikipedia.org/wiki/Soroko_(B%C3%A9nin),Soroko est un arrondissement situé dans département de l'Alibori au nord du Bénin. C'est une divisio
54,Natta (Bénin),https://fr.wikipedia.org/wiki/Natta_(B%C3%A9nin),Natta est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Atacora 
55,Kossoucoingou,https://fr.wikipedia.org/wiki/Kossoucoingou,Kossoucoingou est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'
56,Taiakou,https://fr.wikipedia.org/wiki/Taiakou,Taiakou est l'un des cinq arrondissements de la commune de Tanguiéta dans le département de l'Atacor
57,Tantéga,https://fr.wikipedia.org/wiki/Tant%C3%A9ga,Tantéga est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au
58,Bodjecali,https://fr.wikipedia.org/wiki/Bodjecali,Bodjecali est un quartier de la commune de Malanville situé au nord-est du Bénin dans le département
59,Tabota,https://fr.wikipedia.org/wiki/Tabota,Tabota est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Atacora
60,Guilmaro,https://fr.wikipedia.org/wiki/Guilmaro,Guilmaro est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora 
61,Oroukayo,https://fr.wikipedia.org/wiki/Oroukayo,Oroukayo est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora 
62,Tassi tedji,https://fr.wikipedia.org/wiki/Tassi_tedji,Tassi tedji est un quartier de la commune de Malanville dans le département de l'Alibori situé au no
63,Nazoumé,https://fr.wikipedia.org/wiki/Nazoum%C3%A9,"Nazoumé est un village situé au sud du Bénin, dans le département de l'Atlantique, la commune de Kpo"
64,Place Chacha (Ouidah),https://fr.wikipedia.org/wiki/Place_Chacha_(Ouidah),La Place Chacha (ou place des enchères) - Chacha étant le surnom de Francisco Félix de Souza représe
65,Sô-Ava,https://fr.wikipedia.org/wiki/S%C3%B4-Ava,"Sô-Ava est une ville du sud-est du Bénin, chef-lieu de la commune du même nom et préfecture du dépar"
66,Bensékou,https://fr.wikipedia.org/wiki/Bens%C3%A9kou,"Bensékou est une localité située au nord-est du Bénin, dans l'arrondissement du même nom, la commune"
67,Tobré,https://fr.wikipedia.org/wiki/Tobr%C3%A9,Tobré est l'un des trois arrondissements de la commune de Péhunco dans le département de l'Atacora a
68,Natitingou III,https://fr.wikipedia.org/wiki/Natitingou_III,Natitingou III est l'un des neuf arrondissements de la commune de Natitingou dans le département de 
69,Kountori,https://fr.wikipedia.org/wiki/Kountori,Kountori est l'un des sept arrondissements de la commune de Cobly dans le département de l'Atacora a
70,Gouandé,https://fr.wikipedia.org/wiki/Gouand%C3%A9,Gouandé est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au
71,Natitingou I,https://fr.wikipedia.org/wiki/Natitingou_I,Natitingou I est l'un des neuf arrondissements de la commune de Natitingou dans le département de l'
72,Kantaborifa,https://fr.wikipedia.org/wiki/Kantaborifa,Kantaborifa est un quartier de l'arrondissement de Natitingou III dans commune de Natitingou du dépa
73,Natitingou IV,https://fr.wikipedia.org/wiki/Natitingou_IV,Natitingou IV est l'un des neuf arrondissements de la commune de Natitingou dans le département de l
74,Brignamaro,https://fr.wikipedia.org/wiki/Brignamaro,Brignamaro est l'un des quatre arrondissements de la commune de Kérou dans le département de l'Ataco
75,Chabi-Couma,https://fr.wikipedia.org/wiki/Chabi-Couma,Chabi-Couma est l'un des six arrondissements de la commune de Kouande dans le département de l'Ataco
76,Banigourou,https://fr.wikipedia.org/wiki/Banigourou,Banigourou est un quartier situé dans le deuxième arrondissement de Kandi dans le département de l'A
77,Tchoumi-Tchoumi,https://fr.wikipedia.org/wiki/Tchoumi-Tchoumi,Tchoumi-tchoumi est l'un des neuf arrondissements de la commune de Natitingou dans le département de
78,Perma,https://fr.wikipedia.org/wiki/Perma,Perma est l'un des neuf arrondissements de la commune de Natitingou dans le département de l'Atacora
79,N'Dahonta,https://fr.wikipedia.org/wiki/N%27Dahonta,N'Dahonta est l'un des cinq arrondissements de la commune de Tanguiéta dans le département de l'Atac
80,Kouarfa,https://fr.wikipedia.org/wiki/Kouarfa,Kouarfa est l'un des trois arrondissements de la commune de Toucountouna dans le département de l'At
81,Natitingou II,https://fr.wikipedia.org/wiki/Natitingou_II,Natitingou II est l'un des neuf arrondissements de la commune de Natitingou dans le département de l
82,Founougo,https://fr.wikipedia.org/wiki/Founougo,Founougo est un des dix arrondissement de de la commune de Banikoara située dans le département de l
83,Tchianhoun-Cossi,https://fr.wikipedia.org/wiki/Tchianhoun-Cossi,Tchianhoun-Cossi est l'un des six arrondissements de la commune de Matéri dans le département de l'A
84,Korontière,https://fr.wikipedia.org/wiki/Koronti%C3%A8re,Korontière est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Ata
85,Nodi,https://fr.wikipedia.org/wiki/Nodi,Nodi est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au Bé
86,Birni,https://fr.wikipedia.org/wiki/Birni,Birni est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora au 
87,Tampégré,https://fr.wikipedia.org/wiki/Tamp%C3%A9gr%C3%A9,Tampégré est l'un des trois arrondissements de la commune de Toucountouna dans le département de l'A
88,Kouandata,https://fr.wikipedia.org/wiki/Kouandata,Kouandata est l'un des neuf arrondissements de la commune de Natitingou dans le département de l'Ata
89,Cotiacou,https://fr.wikipedia.org/wiki/Cotiacou,Cotiacou est l'un des cinq arrondissements de la commune de Tanguiéta dans le département de l'Ataco
90,Gnémasson,https://fr.wikipedia.org/wiki/Gn%C3%A9masson,Gnémasson est l'un des trois arrondissements de la commune de Péhunco dans le département de l'Ataco
91,Dipoli (Bénin),https://fr.wikipedia.org/wiki/Dipoli_(B%C3%A9nin),Dipoli est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Atacora
92,Firou,https://fr.wikipedia.org/wiki/Firou,Firou est l'un des quatre arrondissements de la commune de Kérou dans le département de l'Atacora au
93,Fô-Tancé,https://fr.wikipedia.org/wiki/F%C3%B4-Tanc%C3%A9,Fô-Tancé est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora 
94,Tapoga,https://fr.wikipedia.org/wiki/Tapoga,Tapoga est l'un des sept arrondissements de la commune de Cobly dans le département de l'Atacora au 
95,Datori,https://fr.wikipedia.org/wiki/Datori,Datori est l'un des sept arrondissements de la commune de Cobly dans le département de l'Atacora au 
96,Koabagou,https://fr.wikipedia.org/wiki/Koabagou,Koabagou est l'un des quatre arrondissements de la commune de Kérou dans le département de l'Atacora
97,Atlantique (département),https://fr.wikipedia.org/wiki/Atlantique_(d%C3%A9partement),"L'Atlantique est un département situé au sud du Bénin. En 1999, le département du Littoral – c'est-à"
98,Godomey,https://fr.wikipedia.org/wiki/Godomey,"Godomey est un arrondissement de la commune d'Abomey-Calavi, située dans le département de l'Atlanti"
99,Kérou,https://fr.wikipedia.org/wiki/K%C3%A9rou,"Kérou est une ville du nord du Bénin, chef-lieu de la commune du même nom et préfecture du départeme"
100,Tori-Bossito,https://fr.wikipedia.org/wiki/Tori-Bossito,"Tori-Bossito est une ville du sud du Bénin, chef-lieu de la commune du même nom. Elle est située dan"
101,Zoungou-Pantrossi,https://fr.wikipedia.org/wiki/Zoungou-Pantrossi,Zoungou-Pantrossi est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est
102,Gounarou,https://fr.wikipedia.org/wiki/Gounarou,Gounarou est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une divi
103,Bagou (Bénin),https://fr.wikipedia.org/wiki/Bagou_(B%C3%A9nin),Bagou est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une divisio
104,Ouara (Bénin),https://fr.wikipedia.org/wiki/Ouara_(B%C3%A9nin),Ouara est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une divisio
105,Chutes de Koudou,https://fr.wikipedia.org/wiki/Chutes_de_Koudou,Les chutes de Koudou sont des chutes d'eau au Bénin situées dans le Parc W qui traverse trois pays :
106,Sori (Bénin),https://fr.wikipedia.org/wiki/Sori_(B%C3%A9nin),Sori est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une division
107,Toucountouna,https://fr.wikipedia.org/wiki/Toucountouna,"Toucountouna est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom et préfecture"
108,Porga,https://fr.wikipedia.org/wiki/Porga,"Porga est un village de l'arrondissement de Dassari, dans la commune de Matéri et situé dans le dépa"
109,Kpomassè,https://fr.wikipedia.org/wiki/Kpomass%C3%A8,"Kpomassè est une ville du sud-ouest du Bénin, chef-lieu de la commune du même nom et préfecture du d"
110,Zè,https://fr.wikipedia.org/wiki/Z%C3%A8,"Zè est une ville du sud du Bénin, chef-lieu de la commune du même nom et préfecture du département d"
111,Toffo,https://fr.wikipedia.org/wiki/Toffo,"Toffo est une ville du sud du Bénin, chef-lieu de la commune du même nom et préfecture du départemen"
112,Derou Garou,https://fr.wikipedia.org/wiki/Derou_Garou,Derou Garou est un village de l'arrondissement de Banikoara dans l'Alibori au nord du Bénin.
113,Demanou,https://fr.wikipedia.org/wiki/Demanou,Demanou est un village de l'arrondissement de Banikoara dans l'Alibori au nord du Bénin2.
114,Kotapounga,https://fr.wikipedia.org/wiki/Kotapounga,Selon le recensement de la population de 2013 conduit par l'Institut national de la statistique et d
115,Arbonga,https://fr.wikipedia.org/wiki/Arbonga,Arbonga est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.
116,Sekou,https://fr.wikipedia.org/wiki/Sekou,"Sékou est un arrondissement du sud du Bénin, situé dans le département de l'Atlantique, à 45 km de l"
117,Kori Ginguiri,https://fr.wikipedia.org/wiki/Kori_Ginguiri,"Kori Ginguiri est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin.
"
118,Weterou,https://fr.wikipedia.org/wiki/Weterou,"Weterou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.
La po"
119,Tokey Banta,https://fr.wikipedia.org/wiki/Tokey_Banta,Tokey Banta ou Toké-Banta est un village de l'arrondissement de Banikoara dans l'Alibori dans le nor
120,Sépounga,https://fr.wikipedia.org/wiki/S%C3%A9pounga,Sépounga est un village de l’Atacora au Bénin. Il fait partie de la commune de Tanguiéta[réf. nécess
121,Orou Gnonrou,https://fr.wikipedia.org/wiki/Orou_Gnonrou,Orou Gnonrou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.
122,Yadikparou,https://fr.wikipedia.org/wiki/Yadikparou,Yadikparou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.
123,Kokire,https://fr.wikipedia.org/wiki/Kokire,Kokire est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin.
124,Kommon,https://fr.wikipedia.org/wiki/Kommon,Kommon est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin.
125,Wagou,https://fr.wikipedia.org/wiki/Wagou,Wagou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.
